Date,Rating,User,Review
17-Oct-18,5,Bestariweb Hosting,Recomended app
12-Nov-18,5,Stella Katherine,"I have relied on Tokopedia to obtain from cheap and mundane items to pricy gadgets that need extra care in handling and shipping. Everything were delivered as expected and I am satisfied (so far) with its choice of stores, couriers, user-friendly design, and comprehensive system. Sometimes, Tokopedi...Full Review"
13-Nov-18,2,A Google user,What's with OVO shovel treatment? Dissapointed to the marrow. It is our money and to expect us to be happy to use it as 'points' in another platform are both awful and asinine. Will never use cashback ever. It turns out I cannae have two ongoing payments so I need to 're-purchase an item' when I put...Full Review
13-Nov-18,2,Karina Dian,The features failed way too much (like the chat feature crashed or wouldn't load or it would ask you to try again later but still no improvement and you still couldn't load the chat. Experience it for probably 4 times already in this past 2 months. Tried to uninstall and install it again but still.....Full Review
17-Nov-18,5,Santi Soekamto,"good app, functioned well minimum crash"
21-Nov-18,5,Naz Legolas,"Fly brethren, keep up the great work. Proudness should be in our hearts."
22-Nov-18,5,ernaning tejawati,"Still favourite one! Even if there's update, they never let you waiting for that long, so you can enjoy online shopping"
22-Nov-18,5,izal zal,Most Simple UI Marketplace i've ever used. Great Job Toped. Keep workin' on it !!!!
22-Nov-18,5,Ratna Surjani Prawiro,"Instant delivery is not shown in application , pls do some adjustment to become easier to understand. Thank you"
22-Nov-18,1,A Google user,Heck this app is so stupid where's my order its like 3 months since i order a package
22-Nov-18,5,Jarot Setiawan,Wonderful app for Indonesia and the world 👍
23-Nov-18,5,azam adnani,Its a must have app. You can find anything for your own good here. Thanks Tokopedia
23-Nov-18,5,Rofly Rero,This app all of one the best app!!
23-Nov-18,2,Gusti Alit,nice ui you got there makes me want to uninstall. and why you change tokocash into ovo?
23-Nov-18,5,Novizki Gunaryanto,The apps is stable and secure for online transaction
23-Nov-18,5,hadi janto,Very Good App and Usefull. Many Thanks to Tokopedia.
23-Nov-18,5,Destriana Putri,Great app with complete features and products!
23-Nov-18,5,Edyson Ray,Good aplication..easy to use
24-Nov-18,4,JOJO HUE,Somwtimes there is still some server error that is annoying. But other than that good.
24-Nov-18,5,Hans TW,mantaplah. tampilan simple and clean. i like it!
24-Nov-18,5,Victor Michael,Very trusted shopping platform with high security transaction between buyer and seller
24-Nov-18,5,Christian .T,Nice and simple app for buying and selling goods
24-Nov-18,5,Junaedi Prasetyo,Great Trading App! let us connect to achieve Something Big :)
24-Nov-18,5,marsa basri,Good app. Highly recommend.
24-Nov-18,5,Firdaus Achmad,Really helpful online store app with so many promos.
24-Nov-18,5,A Google user,Nice onelide shop app!! And simple payment method 👍
24-Nov-18,5,chris yoga,Very good. Help me more everything
24-Nov-18,4,Maz DaNanG,I hope Tokopedia can pay order with Tcash by Telk*msel
24-Nov-18,5,Faris Hasan,"I love this app, a lot!"
25-Nov-18,4,Freddy Lintong,"Improvement in seaching features, which shoukd include related details of name, part of words etc (searching machine)"
25-Nov-18,5,Prafitryane Lenient Arum Suraloka,happy with cashback and tracking order always useful everytime I ordered something. great apps!!
25-Nov-18,1,Afrida Niar,I can not use my coupon while i have right in term and condition for that.
25-Nov-18,5,MrJohnnedy,"It,s a trusty online shop ...I keep my shop for all."
25-Nov-18,5,Sie Ricky Gunawan Setya,A good app that I always used for paying bills
25-Nov-18,5,Ivan R,Best indonesian e commerce company! EVER!!
25-Nov-18,5,yenny kim,"Great apps....very helpfully, makes your life easy"
25-Nov-18,5,A Google user,"Good respon, fast delivery, product good quality"
25-Nov-18,5,diana aprillia,Trusted and recomended. Very good
25-Nov-18,5,Jeffrey Budhipramono,Very good app for buy anything.
26-Nov-18,5,A Google user,"""Very helpfull, secure, trusted, good service. My priority choice for online shopping. This application very very good. Keep up the work"""
26-Nov-18,1,bambang sugiarto,"Every purchase or buy here using CC will got double payment, if you not check you will get double charge every time transaction using CC. And Tokopedia dont have call center / Customer Service for can call for give explain detail. Using by chat later response and for 1 month behind can not do compli...Full Review"
26-Nov-18,5,Raffa zuhayr,"Tokopedia is an online shopping app that lets not only buy things online, but you can pay your tax,buy voucher game,and many more"
26-Nov-18,5,Antoniu Dinata Ferdianto,"I like this application, so many products with varian prices n brands, it make me have a lot of option to buy. Thanks tokopedia"
