,Date,Rating,Label,Review,Cleaned_review
0,17-Oct-18,5,1,Recomended app,recommended
1,12-Nov-18,5,1,"I have relied on Tokopedia to obtain from cheap and mundane items to pricy gadgets that need extra care in handling and shipping. Everything were delivered as expected and I am satisfied (so far) with its choice of stores, couriers, user-friendly design, and comprehensive system. Sometimes, Tokopedi...Full Review",relied cheap mundane item pricy gadget extra care handling shipping delivered expected satisfied choice store courier user friendly design comprehensive
2,13-Nov-18,2,0,What's with OVO shovel treatment? Dissapointed to the marrow. It is our money and to expect us to be happy to use it as 'points' in another platform are both awful and asinine. Will never use cashback ever. It turns out I cannae have two ongoing payments so I need to 're-purchase an item' when I put...Full Review,ovo shovel treatment dissapointed narrow money expect happy use point platform awful asinine use cashback turn cannae ongoing payment purchase item put..full
3,13-Nov-18,2,0,The features failed way too much (like the chat feature crashed or wouldn't load or it would ask you to try again later but still no improvement and you still couldn't load the chat. Experience it for probably 4 times already in this past 2 months. Tried to uninstall and install it again but still.....Full Review,feature failed much like chat feature crashed wouldn load improvement couldn load chat experience time month uninstall install still..full
4,17-Nov-18,5,1,"good app, functioned well minimum crash",good functioned well minimum crash
5,21-Nov-18,5,1,"Fly brethren, keep up the great work. Proudness should be in our hearts.",fly brother great work proudness heart
6,22-Nov-18,5,1,"Still favourite one! Even if there's update, they never let you waiting for that long, so you can enjoy online shopping",favourite update waiting long enjoy online
7,22-Nov-18,5,1,Most Simple UI Marketplace i've ever used. Great Job Toped. Keep workin' on it !!!!,simple market place great job workin
8,22-Nov-18,5,0,"Instant delivery is not shown in application , pls do some adjustment to become easier to understand. Thank you",instant delivery not adjustment easier understand
9,22-Nov-18,1,0,Heck this app is so stupid where's my order its like 3 months since i order a package,stupid order like month order package
10,22-Nov-18,5,1,Wonderful app for Indonesia and the world 👍,wonderful indonesia
11,23-Nov-18,5,1,Its a must have app. You can find anything for your own good here. Thanks Tokopedia,good
12,23-Nov-18,5,1,This app all of one the best app!!,best
13,23-Nov-18,2,0,nice ui you got there makes me want to uninstall. and why you change tokocash into ovo?,nice uninstall change tokocash ovo
14,23-Nov-18,5,1,The apps is stable and secure for online transaction,apps stable secure online transaction
15,23-Nov-18,5,1,Very Good App and Usefull. Many Thanks to Tokopedia.,good useful
16,23-Nov-18,5,1,Great app with complete features and products!,great complete feature product
17,23-Nov-18,5,1,Good aplication..easy to use,good aplication..easy use
18,24-Nov-18,4,0,Somwtimes there is still some server error that is annoying. But other than that good.,server error annoying good
19,24-Nov-18,5,1,mantaplah. tampilan simple and clean. i like it!,mantaplah tampilan simple clean like
20,24-Nov-18,5,1,Very trusted shopping platform with high security transaction between buyer and seller,trusted platform high security transaction buyer seller
21,24-Nov-18,5,1,Nice and simple app for buying and selling goods,nice simple buying selling good
22,24-Nov-18,5,1,Great Trading App! let us connect to achieve Something Big :),great trading connect achieve big
23,24-Nov-18,5,1,Good app. Highly recommend.,good highly recommend
24,24-Nov-18,5,1,Really helpful online store app with so many promos.,helpful online store promos
25,24-Nov-18,5,1,Nice onelide shop app!! And simple payment method 👍,nice online shop simple payment method
26,24-Nov-18,5,1,Very good. Help me more everything,good help
27,24-Nov-18,4,0,I hope Tokopedia can pay order with Tcash by Telk*msel,hope pay order tcash telk msel
28,24-Nov-18,5,1,"I love this app, a lot!",love
29,25-Nov-18,4,0,"Improvement in seaching features, which shoukd include related details of name, part of words etc (searching machine)",improvement seaching feature include word searching machine
30,25-Nov-18,5,1,happy with cashback and tracking order always useful everytime I ordered something. great apps!!,happy cashback tracking order useful everytime ordered great apps
31,25-Nov-18,1,0,I can not use my coupon while i have right in term and condition for that.,not use coupon term condition
32,25-Nov-18,5,1,"It,s a trusty online shop ...I keep my shop for all.",trusty online shop ..i shop
33,25-Nov-18,5,1,A good app that I always used for paying bills,good paying
34,25-Nov-18,5,1,Best indonesian e commerce company! EVER!!,best indonesian commerce
35,25-Nov-18,5,1,"Great apps....very helpfully, makes your life easy",great apps..very helpfully life easy
36,25-Nov-18,5,1,"Good respon, fast delivery, product good quality",good response fast delivery product good quality
37,25-Nov-18,5,1,Trusted and recomended. Very good,trusted recommended good
38,25-Nov-18,5,1,Very good app for buy anything.,good buy
39,26-Nov-18,5,1,"""Very helpfull, secure, trusted, good service. My priority choice for online shopping. This application very very good. Keep up the work""",helpful secure trusted good service priority choice online good work
40,26-Nov-18,1,0,"Every purchase or buy here using CC will got double payment, if you not check you will get double charge every time transaction using CC. And Tokopedia dont have call center / Customer Service for can call for give explain detail. Using by chat later response and for 1 month behind can not do compli...Full Review",purchase buy double payment not check get double charge time transaction dont center customer service give explain chat response month not compli..full
41,26-Nov-18,5,1,"Tokopedia is an online shopping app that lets not only buy things online, but you can pay your tax,buy voucher game,and many more",online not buy thing online pay tax buy voucher game
42,26-Nov-18,5,1,"I like this application, so many products with varian prices n brands, it make me have a lot of option to buy. Thanks tokopedia",like product varian price brand option buy
43,26-Nov-18,5,1,"First favorite app store, there is point for buyer, seller. And always made promo when i pay internet service monthly.. its help",favorite store point buyer seller promo pay internet service monthly.. help
44,26-Nov-18,4,1,Easy to use and got many range of products in it's marketplace. Some problems with it's fraud detections though.,easy use range product market place problem fraud detection
45,26-Nov-18,5,0,Today we were buying on line but asking provisi which is not taking even location is not getting same as per address even cs not picking up telpone pls email telpone no where we can contact,today buying provisi not location not address not picking telephone email telephone contact
46,26-Nov-18,5,1,"Very useful app, user friendly, easy to navigate, nice gui, well organized..",useful user friendly easy navigate nice gui well organized..
47,26-Nov-18,5,1,"Solution for all you need. Gampang pakai-nya, up to date, gak neko neko.. Toped , the best!!",solution gampang pakai nya gak neko neko.. best
48,26-Nov-18,5,1,One of the best apps for online trading in Indonesia. There are varieties of buyer and seller,best apps online trading indonesia variety buyer seller
49,26-Nov-18,5,1,Easy to use. I don't need to go outside to buy things I need and have no idea where to buy. Love.,easy use buy thing idea buy love
50,26-Nov-18,4,1,"Start as a buyer, will try to sell my second comic books with almost perfect condition - Bebe Books",start buyer sell second comic book perfect condition bebe book
51,26-Nov-18,5,1,> Great apps for sell n buy > safety in all kind of transaction > tons of voucher n promo > easy to use,great apps sell buy safety kind transaction voucher promo easy use
52,26-Nov-18,5,1,"Great app for selling & buying. & have a special apps for seller, very helpfull.",great selling buying special apps seller helpful
53,26-Nov-18,5,1,"Simple, fast and easy to use with clean interface. Love the filter menu",simple fast easy use clean interface love filter menu
54,26-Nov-18,5,1,this app provides easy ways for people to buy n sell...i love it very much,easy buy sell..i love much
55,26-Nov-18,5,1,"Great App, have a lot of choices and great rewards. T",great choice great reward
56,26-Nov-18,5,1,So far I do online shop with Tokopedia. Nice apps and aeasy to use.,online shop nice apps easy use
57,26-Nov-18,5,1,"I like this app, and this app better than the same",like better
58,26-Nov-18,5,1,"Confidence on buying things in tokopedia, the resolution center always customer minded",confidence buying thing resolution center customer minded
59,26-Nov-18,5,1,"Easy to use, secure dan very helpful for online shopping",easy use secure helpful online
60,26-Nov-18,5,1,"one stop shopping with easy access, payment method n various options",stop easy access payment method option
61,26-Nov-18,5,1,Good and best recommended!!!,good best recommended
62,26-Nov-18,5,1,Tokopedia is great place to sell and buy online...,great place sell buy online..
63,26-Nov-18,5,0,Overall is good..but need more extra promo such as free delivery etc,good..but extra promo free delivery
64,26-Nov-18,5,1,Secure and friendly user most seller also fast response recommended!,secure friendly user seller fast response recommended
65,26-Nov-18,5,1,Easy to use and many payment method. helpfull,easy use payment method helpful
66,26-Nov-18,5,1,"Great place for shop, had a lot of promo",great place shop promo
67,26-Nov-18,5,1,One of the best online shop in indonesia,best online shop indonesia
68,26-Nov-18,5,0,"Good apps, please avoid changes menu if possible.",good apps avoid change menu
69,26-Nov-18,5,1,"Great shopping apps, easy to use",great apps easy use
70,26-Nov-18,5,1,very good online marketplace. very recommended,good online market place recommended
71,26-Nov-18,5,1,"Good application and easy used, recommend application",good easy recommend
72,26-Nov-18,5,1,"Very helpful, safe and easy to use. I love it",helpful safe easy use love
73,26-Nov-18,5,1,Got a lot of promotion and cash back,promotion cash
74,26-Nov-18,5,1,Good apps with almost everything you need,good apps
75,26-Nov-18,5,1,Can find almost everything I need in TOKOPEDIA,
76,26-Nov-18,5,1,"May be someday, Tokopedia can achieve like Amazon",someday achieve like amazon
77,26-Nov-18,5,1,"Good marketplace, keep the 5 stars.",good market place star
78,26-Nov-18,5,1,Nice app for shopping..i always shopping here,nice shopping..i
79,26-Nov-18,5,1,Good and helping to find something fast,good helping fast
80,26-Nov-18,5,1,The best online shop in Indonesia,best online shop indonesia
81,26-Nov-18,5,1,I love this app more than another 😊,love
82,26-Nov-18,5,1,Very helpful and frequent discount sale..,helpful frequent discount sale..
83,26-Nov-18,5,1,Make it more easier to use reward,easier use reward
84,26-Nov-18,5,1,Best E-commerce in Indonesia,best commerce indonesia
85,27-Nov-18,5,1,"Tokopedia is the best online Mall, with everything u need. Thank you, and keep up the good work.",best online mall good work
86,27-Nov-18,5,1,bring it to the next level application service!!! Excellent!!!,bring level service excellent
87,27-Nov-18,3,0,"Since tokocash can't be used and replaced by ovo point, i can't top up my reksadana easily",tokocash replaced ovo point reksadana easily
88,27-Nov-18,5,1,"Nice apps...easy to use, beware being addictes.",nice apps..easy use beware addicted
89,27-Nov-18,4,1,Friendly to use this application and easy for online shop 👍😊,friendly use easy online shop
90,27-Nov-18,5,1,Great application and east to used.i loved using tokopedia.because user friendly,great easy used.i loved tokopedia.because user friendly
91,27-Nov-18,5,1,Supportful application. I love it.,supportful love
92,27-Nov-18,5,1,Currently the best marketplace in Indonesia,currently best market place indonesia
93,27-Nov-18,4,0,Its nice but too complicated to use.,nice complicated use
94,27-Nov-18,5,1,Easy to search and shop. Good apps,easy search shop good apps
95,27-Nov-18,5,1,Tokopedia has helped me slots on searching goods that I need,helped slot searching good
96,27-Nov-18,5,1,One of the best shopping online apps,best online apps
97,27-Nov-18,5,1,good and what you need it is ..,good
98,27-Nov-18,5,1,Nice place and easy way of shopping,nice place easy
99,27-Nov-18,5,1,"Simple, Praktis and Fast....!!!",simple praktis fast..
100,27-Nov-18,5,1,"nice, complete and easy to use",nice complete easy use
101,27-Nov-18,5,1,Best application online shopping.,best online
102,27-Nov-18,5,1,"Very cool market place, really lovely",cool market place lovely
103,27-Nov-18,5,1,Toped had my vote. Keep up abd thumbs up,vote abd thumb
104,28-Nov-18,4,0,Sometimes it crashed out of the blue. But it only happened like once after the tenth time using it. But the coupons are very expensive.,crashed blue happened like tenth time coupon expensive
105,28-Nov-18,5,1,A great app for shopping. Very recommended. If you haven't installed it you really missed out. Love the cashbacks. 👍👍👍,great recommended haven installed missed love cashbacks
106,28-Nov-18,4,1,"A lot of choice, good prices, good services, easy to use",choice good price good service easy use
107,28-Nov-18,5,1,"Best, Trusted and my personal ""go - to"" e commerce in Indonesia.",best trusted personal commerce indonesia
108,28-Nov-18,5,1,Help me a lot when I have no time to go for shopping..,help time shopping..
109,28-Nov-18,5,1,One button for every single thing for your life.,button single thing life
110,28-Nov-18,5,1,Easy to use. So far transactions went well.,easy use transaction well
111,28-Nov-18,5,1,If You Search Produc? This is good and only one good apps,search product good good apps
112,28-Nov-18,5,1,"Good shopping online, easy to use.",good online easy use
113,28-Nov-18,5,1,"My first experience was good, tks tokopedia",experience good tks
114,28-Nov-18,5,1,This app is usefull for me.. Very helpfull,useful me.. helpful
115,28-Nov-18,5,1,Good solution for online shopping,good solution online
116,28-Nov-18,5,1,Simple and easy to use if you have money,simple easy use money
117,28-Nov-18,5,1,Recommended aplication for indonesia e-commerce,recommended indonesia commerce
118,29-Nov-18,5,1,Great app to find all your needs. Many great merchants. Easy to compare price and reviews,great great merchant easy compare price
119,29-Nov-18,5,1,This application help me so much in my daily life.Make easier and simple,help much daily life.make easier simple
120,29-Nov-18,3,0,Good enough. Just sometimes payment is not easy,good payment not easy
121,29-Nov-18,5,1,I think this thing is really a good thing if you know what I mean......,thing good thing mean..
122,29-Nov-18,5,1,This app was helpfull and very addictive and also easy to use GREAT,helpful addictive easy use great
123,29-Nov-18,5,1,Awesome.. The application is really user friendly..,awesome.. user friendly..
124,29-Nov-18,5,1,I always satisfy to order things in this app.,satisfy order thing
125,29-Nov-18,5,1,really good apps. and helpful alot!,good apps helpful
126,30-Nov-18,5,1,Easy to access and contain lots of products. The only suggestion is to have history of previous orders,easy access product suggestion history previous order
127,30-Nov-18,1,0,The app ANRs on almost every view change in my phone. It's almost unusable. I have no issues with the competitor apps.,anrs view change phone unusable issue competitor apps
128,30-Nov-18,5,1,I love how everything is integrated in one apps making it really user friendly. It makes my life easier too.,love integrated apps making user friendly life easier
129,30-Nov-18,5,1,Best online shop app in Indonesia. Very easy to use. There are many variety of goods you can find here,best online shop indonesia easy use variety good
130,30-Nov-18,5,1,Awesome online shopping application. Easy to use and user friendly. Also give a lot of benefits 👍👍👍,awesome online easy use user friendly give benefit
131,30-Nov-18,2,0,"I guess every time i make transactions, the delivery time never accurate, so i pay bulls*** delivery",guess time transaction delivery time accurate pay bull delivery
132,30-Nov-18,5,1,"The best online market ever, with fast and good response, make me comfortable and safe to shop",best online market fast good response comfortable safe shop
133,30-Nov-18,5,0,Would love if tokopedia give free shipment facility when we spent / buy product above 50 k or 100 k or more. Since I bought above 2 million product but still charged for shipment fee.,love give free shipment facility spent buy product 100 bought product charged shipment fee
134,30-Nov-18,5,1,"Very usefull and friendly-user app, good and trusted seller here.. recommended....",useful friendly user good trusted seller here.. recommended..
135,30-Nov-18,5,1,"Easy to use , a lot of items , but must certified which original item",easy use item certified original item
136,30-Nov-18,5,1,"Really helpful in finding things, especially when it's very specific.",helpful finding thing specific
137,30-Nov-18,5,1,"Through Tokopedia, shopping is easy, cheap and convenient",easy cheap convenient
138,30-Nov-18,5,1,Great app with great interface for online shopping.,great great interface online
139,30-Nov-18,5,1,Keep it up and make it simple and user friendly.,simple user friendly
140,1-Dec-18,5,0,"Search function is a bit slow. For seller that has not been active for sometimes, just terminate and don't show them and their items at all, to minimize our time to search things. Some of the pictures of the items are dark, I think it should be reviewed by tokped first proor to uploading",search function slow seller not active terminate item minimize time search thing picture item dark reviewed proor uploading
141,1-Dec-18,1,0,"very bad in tracking orders, no customer calls, very difficult to use, very slow process",bad tracking order customer difficult use slow process
142,1-Dec-18,5,0,Tokopedia should fire the suppliers that do not respond to customers' complaints.,supplier not respond customer complaint
143,1-Dec-18,1,0,The ability to change the language??????,ability change language
144,1-Dec-18,5,1,"try to new e com shopping except the other e com, pray this very good",pray good
145,1-Dec-18,5,1,Great application and trusted transaction... useful for refreshing,great trusted transaction.. useful refreshing
146,1-Dec-18,5,1,Very good application... Recommend !!,good application.. recommend
147,1-Dec-18,1,0,Can't do activation OVO. Sad!!!,activation ovo sad
148,1-Dec-18,5,1,Smart shopping application for smart people,smart smart
149,1-Dec-18,5,1,helpful for me to get any stuff,helpful get stuff
150,2-Dec-18,1,0,"After updates, i cant even search a product. its constantly crash. please dev fix this issue i like the older version more",update cant search product crash dev issue like older version
151,2-Dec-18,3,0,"The app is great, but its hard to get CS solving issues",great hard get solving issue
152,2-Dec-18,5,1,"Loved the UI, it's simple to use",loved simple use
153,2-Dec-18,5,1,Recommend application online store. Thankyou tokopedia.,recommend online store thankyou
154,2-Dec-18,5,1,What a good shopping online app!!,good online
155,2-Dec-18,5,1,Love it more than i can say,love
